angle_x,angle_y,angle_z,brisk.threshold,dataset,err_MTRE,err_bias_x,err_bias_y,err_bias_z,fpfh.searchRadius,harris.searchRadius,harris.threshold,normals.searchRadius,pipelineType,sacia.maxCorrDist,sacia.minSampleDist,sacia.numIterations,sacia.numSamplesPerIter,seedRef,seedRot,seedSource,sift.minContrastSource,sift.minContrastTarget,sift.minScaleSource,sift.minScaleTarget,sift.numOctavesSource,sift.numOctavesTarget,sift.numScalesPerOctaveSource,sift.numScalesPerOctaveTarget,sourceHeight,sourceWidth,visualizer.parameter,x_uncertainty,y_uncertainty
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.199848,-0.074979,0.075709,-0.020642,5.000000,2.000000,0.000000,1.000000,all,2.000000,0.000000,800.000000,5.000000,108.560000,163.136800,108.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,3.057545,1.677943,2.396949,-0.269667,1.800000,2.000000,0.000000,1.500000,all,2.000000,0.000000,800.000000,5.000000,110.560000,166.136800,110.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.535024,0.481858,-0.127943,-0.063493,2.250000,2.000000,0.000000,1.500000,all,2.000000,0.000000,800.000000,5.000000,112.560000,169.136800,112.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.318597,0.294148,0.001629,0.092063,3.000000,2.000000,0.000000,1.500000,all,2.000000,0.000000,800.000000,5.000000,114.560000,172.136800,114.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.406400,-0.007570,0.396691,-0.043699,4.500000,2.000000,0.000000,1.500000,all,2.000000,0.000000,800.000000,5.000000,116.560000,175.136800,116.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.221255,0.086312,-0.158083,-0.025468,7.500000,2.000000,0.000000,1.500000,all,2.000000,0.000000,800.000000,5.000000,118.560000,178.136800,118.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.187461,0.012740,0.019918,-0.015955,3.600000,2.000000,0.000000,3.000000,all,2.000000,0.000000,800.000000,5.000000,120.560000,181.136800,120.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.189106,-0.033120,-0.057772,0.096027,4.500000,2.000000,0.000000,3.000000,all,2.000000,0.000000,800.000000,5.000000,122.560000,184.136800,122.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.201933,0.034605,0.086222,-0.061216,6.000000,2.000000,0.000000,3.000000,all,2.000000,0.000000,800.000000,5.000000,124.560000,187.136800,124.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
0.000000,0.000000,20.000000,60.000000,../data/y656_65_2550_17_400x400m_subset.pcd,0.334473,0.115261,0.121175,0.064150,9.000000,2.000000,0.000000,3.000000,all,2.000000,0.000000,800.000000,5.000000,126.560000,190.136800,126.714000,0.001000,0.001000,0.500000,0.500000,6.000000,6.000000,8.000000,8.000000,23.000000,35.000000,0.000000,5.000000,5.000000
